,Date,Time,Temp,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
151,2016-01-07,11:51 AM,45.0,41.8,8.1,22%,30.30,10.0,SW,5.8,,N/A,,Mostly Cloudy
152,2016-01-07,12:19 PM,44.6,41.4,10.4,25%,30.28,10.0,WSW,5.8,,N/A,,Mostly Cloudy
153,2016-01-07,12:51 PM,45.0,41.8,10.9,25%,30.27,10.0,SW,5.8,,N/A,,Mostly Cloudy
154,2016-01-07,1:51 PM,44.1,39.5,9.0,24%,30.26,10.0,WSW,8.1,,N/A,,Mostly Cloudy
155,2016-01-07,2:51 PM,45.0,40.6,12.0,26%,30.25,10.0,SW,8.1,,N/A,,Mostly Cloudy
156,2016-01-07,3:51 PM,44.1,42.5,14.0,30%,30.25,10.0,SSW,3.5,,N/A,,Mostly Cloudy
157,2016-01-07,4:17 PM,44.6,,12.2,27%,30.24,10.0,Calm,Calm,,N/A,,Mostly Cloudy
158,2016-01-07,4:51 PM,45.0,,12.0,26%,30.25,10.0,Calm,Calm,,N/A,,Mostly Cloudy
159,2016-01-07,5:51 PM,43.0,,16.0,34%,30.26,10.0,Calm,Calm,,N/A,,Overcast
160,2016-01-07,6:48 PM,42.8,41.1,17.6,36%,30.25,10.0,South,3.5,,N/A,,Mostly Cloudy
161,2016-01-07,6:51 PM,42.1,40.2,17.1,37%,30.25,10.0,SSE,3.5,,N/A,,Mostly Cloudy
162,2016-01-07,7:51 PM,43.0,,16.0,34%,30.24,10.0,Calm,Calm,,N/A,,Scattered Clouds
163,2016-01-07,8:51 PM,42.1,,16.0,35%,30.23,10.0,Calm,Calm,,N/A,,Partly Cloudy
164,2016-01-07,9:51 PM,41.0,36.4,17.1,38%,30.22,10.0,NNE,6.9,,N/A,,Partly Cloudy
165,2016-01-07,10:51 PM,39.0,35.7,19.0,45%,30.21,10.0,North,4.6,,N/A,,Clear
166,2016-01-07,11:51 PM,37.0,32.4,19.9,50%,30.20,10.0,NNE,5.8,,N/A,,Clear
167,2016-01-08,12:51 AM,35.1,30.1,21.0,57%,30.19,10.0,NNE,5.8,,N/A,,Clear
168,2016-01-08,1:51 AM,34.0,28.0,23.0,64%,30.18,10.0,NNE,6.9,,N/A,,Partly Cloudy
169,2016-01-08,2:51 AM,34.0,28.0,23.0,64%,30.19,10.0,NNE,6.9,,N/A,,Mostly Cloudy
170,2016-01-08,3:51 AM,35.1,31.0,23.0,61%,30.21,10.0,North,4.6,,N/A,,Mostly Cloudy
171,2016-01-08,4:51 AM,34.0,27.2,23.0,64%,30.19,10.0,NNE,8.1,,N/A,,Scattered Clouds
172,2016-01-08,5:51 AM,33.1,24.9,21.0,61%,30.20,10.0,NNE,10.4,,N/A,,Partly Cloudy
173,2016-01-08,6:51 AM,33.1,26.1,21.0,61%,30.22,10.0,North,8.1,,N/A,,Scattered Clouds
174,2016-01-08,7:51 AM,34.0,27.2,23.0,64%,30.22,10.0,NNE,8.1,,N/A,,Scattered Clouds
175,2016-01-08,8:51 AM,37.9,30.9,27.0,65%,30.23,10.0,NNE,10.4,,N/A,,Scattered Clouds
176,2016-01-08,9:51 AM,41.0,34.3,30.0,65%,30.25,10.0,ENE,11.5,,N/A,,Mostly Cloudy
177,2016-01-08,10:51 AM,44.1,39.0,30.9,60%,30.24,10.0,NE,9.2,,N/A,,Mostly Cloudy
178,2016-01-08,11:19 AM,44.6,39.7,30.2,57%,30.23,10.0,NE,9.2,,N/A,,Mostly Cloudy
179,2016-01-08,11:51 AM,45.0,38.9,32.0,60%,30.22,10.0,NE,12.7,17.3,N/A,,Mostly Cloudy
180,2016-01-08,12:51 PM,46.0,41.4,32.0,58%,30.21,10.0,ENE,9.2,,N/A,,Mostly Cloudy
